Team_1,Team_2,Map1_Team1_Score,Map1_Team2_Score,Map2_Team1_Score,Map2_Team2_Score,Map3_Team1_Score,Map3_Team2_Score,winner
ALTERNATE aTTaX,NAVI Junior,3,16,14,16,0,0,NAVI Junior
Lynn Vision,Mazaalai,16,9,10,16,16,8,Lynn Vision
Copenhagen Flames,NAVI Junior,14,16,17,19,0,0,NAVI Junior
ZIGMA,Invictus,16,11,16,13,0,0,ZIGMA
SAW,Nemiga,22,19,11,16,16,9,SAW
River Plate,Coscu Army,19,16,16,14,0,0,River Plate
FURIA,Natus Vincere,8,16,11,16,0,0,Natus Vincere
Coscu Army,Wygers AR,16,2,16,8,0,0,Coscu Army
Espada,Virtus.pro,20,22,12,16,0,0,Virtus.pro
Astralis,G2,22,19,16,2,0,0,Astralis
River Plate,Meta,13,16,16,14,16,10,River Plate
Copenhagen Flames,PACT,11,16,13,16,0,0,PACT
K23,ALTERNATE aTTaX,12,16,16,6,16,12,K23
Winstrike,VP.Prodigy,16,7,8,16,14,16,VP.Prodigy
Nemiga,Gambit,10,16,12,16,0,0,Gambit
Espada,Dignitas,4,16,17,19,0,0,Dignitas
Virtus.pro,forZe,12,16,16,13,12,16,forZe
x6tence,Heretics,13,16,16,6,16,9,x6tence
HellRaisers,Project X,16,6,16,9,0,0,HellRaisers
HZ,ZIGMA,8,16,16,12,16,12,HZ
Lynn Vision,Invictus,12,16,17,19,0,0,Invictus
G2,BIG,12,16,16,14,13,16,BIG
SAW,Movistar Riders,16,12,8,16,16,7,SAW
XSET,Espada,5,16,1,16,0,0,Espada
Vitality,Natus Vincere,19,15,19,17,0,0,Vitality
Dignitas,AVEZ,25,22,11,16,17,19,AVEZ
SKADE,Galaxy Racer,17,19,16,8,16,12,SKADE
forZe,Espada,12,16,16,14,16,10,forZe
K23,Copenhagen Flames,7,16,16,13,16,12,K23
Gambit,Movistar Riders,19,16,16,9,0,0,Gambit
FURIA,OG,16,9,13,16,16,12,FURIA
Nemiga,SAW,16,13,13,16,16,12,Nemiga
x6tence,Lilmix,16,12,12,16,16,7,x6tence
Espada,ex-ETHEREAL,6,16,11,16,0,0,ex-ETHEREAL
Galaxy Racer,Heretics,11,16,16,6,16,7,Galaxy Racer
NAVI Junior,Nexus,13,16,10,16,0,0,Nexus
Virtus.pro,XSET,16,6,16,5,0,0,Virtus.pro
ALTERNATE aTTaX,PACT,25,22,19,22,12,16,PACT
Lyngby Vikings,Unique,16,14,16,9,0,0,Lyngby Vikings
Heretics,Apeks,16,7,16,13,0,0,Heretics
Rise,Kinship,17,19,14,16,0,0,Kinship
SKDC,ex-Recon 5,16,7,16,14,0,0,SKDC
K23,Wisla Krakow,8,16,19,17,8,16,Wisla Krakow
